platform,best_impl,best_time
Epyc / Clang,ISSH,5.5879509999999994
Epyc / GCC,ISSH,5.5736490000000005
Ryzen / Clang,ISSH,6.526950833333333
Ryzen / GCC,ISSH,6.607660833333333
Xeon / Clang,ISSH,5.264695
Xeon / GCC,ISSH,5.33503
M1 / Clang,MISSH_row,6.888166666666667
